"Reference","Value","Footprint","Datasheet","Field4","Sim.Device","Sim.Pins","Sim.Type","Qty"
"C1, C4, C5","1uF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","","","","","3"
"C2, C8","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","","","2"
"C3, C13, C14","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","","","3"
"C6, C7","470uF","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","2"
"C9-C12","1uF","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","DigiKey EF2105-ND, MFR# ECQ-E2105KF hi quality film cap only","","","","","4"
"D1","1N914B","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","D","1=K 2=A","","1"
"D2","5.6V","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~","","","","","1"
"D3","STPS20H100CT","Package_TO_SOT_THT:TO-220-3_Vertical","~","","","","","1"
"D4","39V_5W","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","~","","","","","1"
"F1","20A","Automotive ATC","~","","","","","1"
"F2","Polyfuse 1A","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","MF-RHT 100-2CT-ND PTC 30V IA","","","","","1"
"F3"," Polyfuse 2.5A","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","LITTLE FUSE POLY SWITCH 2.5A","","","","","1"
"HS1","Heatsink","100 X 40 X20 AMAZON.COM","~","","","","","1"
"J1","GND","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","~","","","","","1"
"J2","BAT","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","~","","","","","1"
"J3","TCV","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","~","","","","","1"
"J4","INJ+","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","~","","","","","1"
"J5","Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Right angle female","~ S5448-ND","","","","","1"
"J6","INJ","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","~","INJ-","","","","1"
"L1","L_Ferrite","Inductor_THT:L_Toroid_Vertical_L26.7mm_W14.0mm_P10.16mm_Pulse_D","Amazon.com DC 300W 20A step down buck converter, re used coil","","","","","1"
"L2","TCV_SOL","","~","","","","","1"
"L3","INJ_SOL","","~","","","","","1"
"Q1","MJF44H11G","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/BDW93C-D.pdf","","","","","1"
"Q2","IRF135B203","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/stp40n60m2.pdf","","NMOS","1=D 2=G 3=S","VDMOS","1"
"Q3, Q4","STP40NF10L","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/stp40n60m2.pdf","","NMOS","1=D 2=G 3=S","VDMOS","2"
"R1","220R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","","","","","1"
"R2, R4","27R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","2"
"R3, R5, R8, R11-R14","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","7"
"R6, R9","330R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","~","","","","","2"
"R7","100R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","","","","1"
"R10","1R_1W","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal","~","","","","","1"
"U1","MCP14E7","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/MCP14E7.pdf","","","","","1"
"U2","ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en","","","","","1"
