"Source:","C:\Users\Marcus\Desktop\PCroll\032523nudrvsw\041723nudrln\041723nudrln.kicad_sch"
"Date:","4/29/2023 2:43:34 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","43"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4","2","1uF","C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","Unpolarized capacitor","",""
"C2, C6","2","0.1uF","C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","Unpolarized capacitor","",""
"C3, C7","2","100uF","C_Polarized_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor, US symbol","",""
"C5","1","100pF","C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","Unpolarized capacitor","",""
"C8","1","1uF","C","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","Unpolarized capacitor","",""
"C9","1","0.1uF","C","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","Unpolarized capacitor","",""
"D1","1","1N914B","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","Diode","",""
"D2","1","5.6V","D_Zener","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","Zener diode","",""
"D3, D4","2","31V","D_Zener","MYfootprints:D_DO-201AD_P17.78mm_Horizontal","Zener diode","",""
"F2, F3","2","Polyfuse","Polyfuse","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","Resettable fuse, polymeric positive temperature coefficient","",""
"J1","1","GND","Conn_01x01_Pin_3","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","Generic connector, single row, 01x01, script generated","",""
"J2","1","BAT+","Conn_01x01_Pin_4","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","Generic connector, single row, 01x01, script generated","",""
"J3","1","Conn_01x12","Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","INJ-","Conn_01x01_Pin_1","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","Generic connector, single row, 01x01, script generated","",""
"J5","1","TCV-","Conn_01x01_Pin_2","Connector_Wire:SolderWire-2sqmm_1x01_D2mm_OD3.9mm","Generic connector, single row, 01x01, script generated","",""
"J6, J7","2","TCV","Conn_01x01_Pin_2","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","Generic connector, single row, 01x01, script generated","",""
"Q1","1","MJF44H11G","MJE13003","Package_TO_SOT_THT:TO-220-3_Vertical","1.5A Ic, 400V Vce, Silicon Switching Power NPN Transistor, TO-225","",""
"Q2","1","IRF250P225","STB40N60M2","Package_TO_SOT_THT:TO-247-3_Vertical","34A Id, 600V Vds, N-Channel MDmesh M2 MOSFET, 78mOhm Ron, D2PAK","",""
"Q3","1","IRL2910","STB40N60M2","Package_TO_SOT_THT:TO-220-3_Vertical","34A Id, 600V Vds, N-Channel MDmesh M2 MOSFET, 78mOhm Ron, D2PAK","",""
"Q4","1","75NF20","STB40N60M2","Package_TO_SOT_THT:TO-220-3_Vertical","34A Id, 600V Vds, N-Channel MDmesh M2 MOSFET, 78mOhm Ron, D2PAK","",""
"R1, R3, R4, R5, R6, R7, R11, R12","8","10K","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor","",""
"R2, R16","2","220R","R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal","Resistor","",""
"R8","1",".05R","R","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal","Resistor","",""
"R9, R13","2","100R","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor","",""
"R10","1","100R","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor","",""
"R14, R15","2","1R","R","Package_TO_SOT_THT:TO-220-2_Vertical","Resistor","",""
"U1","1","Opamp_Quad","Opamp_Quad","Package_DIP:DIP-14_W7.62mm_Socket","Quad operational amplifier","",""
