Time (s),Channel 1 (V),Channel 2 (V)
-0.0021054,2.068,2.516039395
-0.00209935,2.068,2.516341303
-0.0020933,2.068,2.517775365
-0.00208725,2.068,2.520454797
-0.0020812,2.068,2.522454936
-0.00207515,2.068,2.522681367
-0.0020691,2.068,2.522794582
-0.00206305,2.068,2.523775783
-0.002057,2.068,2.525285322
-0.00205095,2.068,2.52607783
-0.0020449,2.068,2.526040092
-0.00203885,2.068,2.5268326
-0.0020328,2.068,2.527889277
-0.00202675,2.068,2.5278138
-0.0020207,2.068,2.527851538
-0.00201465,2.068,2.528606308
-0.0020086,2.068,2.528455354
-0.00200255,2.068528281,2.528719523
-0.0019965,2.066442206,2.528832739
-0.00199045,2.063275841,2.5278138
-0.0019844,2.060817252,2.527549631
-0.00197835,2.058582171,2.527172246
-0.0019723,2.05552756,2.526228784
-0.00196625,2.05359049,2.526681646
-0.0019602,2.05139266,2.526191045
-0.00195415,2.048449803,2.524719245
-0.0019481,2.04643823,2.524228645
-0.00194205,2.043979641,2.523398398
-0.001936,2.041558303,2.522530413
-0.00192995,2.039434976,2.52185112
-0.0019239,2.03705089,2.521322782
-0.00191785,2.035039317,2.520832182
-0.0019118,2.032133712,2.519096212
-0.00190575,2.028855593,2.516794164
-0.0018997,2.026955774,2.516190349
-0.00189365,2.025167709,2.515624272
-0.0018876,2.022224852,2.513020317
-0.00188155,2.019580006,2.511246608
-0.0018755,2.017493931,2.51071827
-0.00186945,2.015072593,2.508831346
-0.0018634,2.013247277,2.507435022
-0.00185735,2.011086698,2.505661314
-0.0018513,2.008143842,2.502642235
-0.00184525,2.005200985,2.50030245
-0.0018392,2.003487423,2.499434465
-0.00183315,2.001848363,2.498151357
-0.0018271,1.999240769,2.495660617
-0.00182105,1.996931185,2.493660478
-0.001815,1.994435345,2.491471646
-0.00180895,1.991566991,2.488754476
-0.0018029,1.990263193,2.487433629
-0.00179685,1.987543845,2.484376812
-0.0017908,1.984414731,2.480980349
-0.00178475,1.983148185,2.479885933
-0.0017787,1.981769885,2.47848961
-0.00177265,1.979087788,2.475470531
-0.0017666,1.976554696,2.472375976
-0.00176055,1.974356867,2.469960714
-0.0017545,1.972643304,2.467922836
-0.00174845,1.970706234,2.465281142
-0.0017424,1.967577121,2.461280864
-0.00173635,1.965528297,2.45863917
-0.0017303,1.964485259,2.457280585
-0.00172425,1.961989418,2.454223769
-0.0017182,1.959754337,2.451166952
-0.00171215,1.958376037,2.449166813
-0.0017061,1.956923234,2.447430843
-0.00170005,1.954613651,2.443619256
-0.001694,1.952527575,2.440524701
-0.00168795,1.950888516,2.438298131
-0.0016819,1.949174954,2.435316791
-0.00167585,1.9476849,2.43312796
-0.0016698,1.946008589,2.430599482
-0.00166375,1.944034267,2.427580403
-0.0016577,1.941985443,2.424334894
-0.00165165,1.940756148,2.422183801
-0.0016456,1.939191592,2.419806277
-0.00163955,1.937254521,2.416334337
-0.0016335,1.935801719,2.413466213
-0.00162745,1.934237162,2.411013212
-0.0016214,1.93308237,2.409164026
-0.00161535,1.931592316,2.406673287
-0.0016093,1.929916005,2.40361647
-0.00160325,1.928984721,2.401767285
-0.0015972,1.928686711,2.400672869
-0.00159115,1.927122154,2.39742736
-0.0015851,1.925036078,2.393728989
-0.00157905,1.923844035,2.391502419
-0.001573,1.923732281,2.390521218
-0.00156695,1.92399304,2.389502279
-0.0015609,1.922428484,2.386332247
-0.00155485,1.920640419,2.383350908
-0.0015488,1.920416911,2.381614938
-0.00154275,1.919709135,2.379501583
-0.0015367,1.918144578,2.377048582
-0.00153065,1.917734814,2.375652258
-0.0015246,1.917623059,2.374180457
-0.00151855,1.916654524,2.371840672
-0.0015125,1.915760492,2.369727317
-0.00150645,1.91542523,2.368217778
-0.0015004,1.915238973,2.366821454
-0.00149435,1.914791957,2.3651987
-0.0014883,1.914531197,2.363575945
-0.00148225,1.915052716,2.362745699
-0.0014762,1.914493946,2.36097199
-0.00147015,1.913264651,2.358707682
-0.0014641,1.913339154,2.357613266
-0.00145805,1.913301903,2.356367896
-0.001452,1.913152897,2.355198003
-0.00144595,1.913897924,2.35478288
-0.0014399,1.913301903,2.352971433
-0.00143385,1.913450908,2.35180154
-0.0014278,1.914419443,2.351386417
-0.00142175,1.914233187,2.350178786
-0.0014157,1.914084181,2.349008893
-0.00140965,1.914791957,2.348706985
-0.0014036,1.916058503,2.348971154
-0.00139755,1.916095754,2.347989954
-0.0013915,1.916356514,2.346933277
-0.00138545,1.917213295,2.346404938
-0.0013794,1.918032824,2.346518153
-0.00137335,1.918442589,2.346140769
-0.0013673,1.919001359,2.345499214
-0.00136125,1.920379659,2.345725645
-0.0013552,1.921385446,2.345687907
-0.00134915,1.922391232,2.346027553
-0.0013431,1.923248013,2.346065292
-0.00133705,1.923620527,2.345272784
-0.001331,1.924067543,2.344518014
-0.00132495,1.925818357,2.345423737
-0.0013189,1.927904432,2.3468578
-0.00131285,1.92894747,2.346933277
-0.0013068,1.929916005,2.3468578
